회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,전화번호,팩스번호,업종명,설립일,결산월,popup_id
(주)오로스테크놀로지  rss,"AUROS TECHNOLOGY, INC.",오로스테크놀로지,322310,"각자 대표이사 이준우, 최성원  정보 더보기",코스닥시장,131111-0104403,129-81-66452,경기도 화성시 동탄면 동탄산단6길 15-23,www.aurostech.com,,031-8046-8800,031-8015-2247,특수 목적용 기계 제조업,2003-10-21,12월,01016479
주식회사 비스토스  정보 더보기  rss,"Bistos Co., Ltd.",비스토스,419540,이후정,코스닥시장,110111-2317653,120-86-25954,경기도 성남시 중원구 갈마치로 302 우림라이온스빌딩5차 A동 7층,www.bistos.co.kr/korean,,031-750-0340,031-750-0344,그 외 기타 의료용 기기 제조업,2001-08-27,12월,01506848
(주)씨티알모빌리티  정보 더보기  rss,"CTR Mobility Co.,Ltd.",씨티알모빌리티,308170,"이동옥, 강태룡  정보 더보기",유가증권시장,194211-0014431,622-81-03825,울산광역시 북구 모듈화산업로 115,www.ctrmobility.co.kr,,052-290-1300,0522899572,자동차 신품 부품 제조업,1994-02-21,12월,00450010
(주)지엔씨에너지  정보 더보기  rss,"GnCenergy Co., Ltd.",지엔씨에너지,119850,안병철,코스닥시장,110111-0952055,107-81-42450,서울특별시 강서구 마곡중앙2로 49 -,www.gncenergy.co.kr,,02-2164-9200,02-2164-9201,전동기 및 발전기 제조업,1993-06-23,12월,00626464
(주)인산가  정보 더보기  rss,INSAN Inc.,인산가,277410,김윤세  정보 더보기,코스닥시장,110111-6471554,139-81-44493,경상남도 함양군 수동면 수동농공길 23-26 -,www.insanga.co.kr,,055-963-9991,02-732-3919,기타 식품 제조업,2017-07-26,12월,01243161
(주)머니무브  정보 더보기  rss,"MoneyMove Co., Ltd.",머니무브,179720,이상규  정보 더보기,코넥스시장,110111-4796392,120-87-78972,"서울특별시 강남구 논현로150길 23 3층 (논현동, 연호빌딩)",www.lendingmachine.co.kr,,02-6207-2400,02-6207-2402,기타 금융업,2012-02-15,12월,00978075
엑세스바이오 인코퍼레이션  정보 더보기  rss,"Access Bio, Inc.",엑세스바이오,950130,최영호,코스닥시장,,010-08-88833,"65 Clyde Road Suite A Somerset NJ 08873, USA",www.accessbio.net,,1-732-873-4040,732-873-4043,의료용품 및 기타 의약 관련제품 제조업,2002-09-27,12월,00956028
(주)나노브릭  정보 더보기  rss,"NANOBRICK Co., Ltd.",나노브릭,286750,임용택  정보 더보기,코스닥시장,135811-0139600,135-81-91640,경기도 평택시 산단로52번길 68,www.nanobrick.co.kr,nanobrick.irpage.co.kr,031-663-9420,031-663-9430,기타 기초 무기 화학물질 제조업,2007-05-15,12월,01136001
이화공영(주)  rss,EehwaConstruction,이화공영,001840,"최삼규, 최종찬  정보 더보기",코스닥시장,110111-0033839,105-81-11500,"서울특별시 마포구 양화로 104 (서교동,삼윤빌딩)",www.ee-hwa.co.kr,,02 -336 -0041,023333198,건물 건설업,1956-08-30,12월,00145668
(주)우양  정보 더보기  rss,"WOOYANG Co., Ltd.",우양,103840,이구열,코스닥시장,164411-0000820,309-81-01598,충청남도 서천군 장항읍 장산로 357,foodkorea.com,,041-956-7171,041-956-7170,"과실, 채소 가공 및 저장 처리업",1992-04-01,12월,00486875
(주)잉크테크  rss,"INKTEC CO., LTD.",잉크테크,049550,"정광춘, 김평수 (각자 대표이사)  정보 더보기",코스닥시장,110111-0866785,123-81-29764,경기도 안산시 단원구 능안로 98-12잉크테크,kr.inktec.com,,031-494-0001,070-4170-4052,인쇄잉크 및 회화용 물감 제조업,1992-06-17,12월,00261656
위더스제약(주)  정보 더보기  rss,"Withus Pharmaceutical. Co., LTD",위더스제약,330350,성대영,코스닥시장,110111-3069534,214-87-63871,서울특별시 서초구 동산로12길 9,withuspharm.com,,02-3486-7474,02-792-0588,의약품 제조업,2004-08-19,12월,00765851
(주)SG글로벌  정보 더보기  rss,"SG GLOBAL CO., LTD",SG글로벌,001380,이의범  정보 더보기,유가증권시장,161511-0000037,314-81-08778,충청남도 예산군 예산읍 창말로 75 (주)SG글로벌,www.sgglobal.co.kr,,070-5038-6333,070-4369-2409,자동차 신품 부품 제조업,1954-12-22,12월,00152039
(주)타이드  정보 더보기  rss,"TIDE Co., Ltd.",타이드,346010,조경종,코넥스시장,110111-4449694,120-87-60415,서울특별시 금천구 가산디지털1로 128,www.tidekorea.com/kr/,,02-6673-0934,02-6673-0968,전자부품 제조업,2010-10-13,12월,01309069
(주)다원시스  정보 더보기  rss,"DAWONSYS CO., LTD",다원시스,068240,박선순,코스닥시장,135011-0049607,134-81-29935,경기도 안산시 단원구 시화호수로 485(성곡동) (주) 다원시스,www.dawonsys.com,,031-8085-3010,031-319-9327,"전동기, 발전기 및 전기 변환장치 제조업",1996-01-15,12월,00523307
(주)아이비김영  정보 더보기  rss,"IBKIMYOUNG CO.,LTD.",아이비김영,339950,김석철  정보 더보기,코스닥시장,110111-7257507,120-88-27562,"서울특별시 서초구 강남대로 279 4,5층(서초동, 백향빌딩)",www.kimyoung.co.kr,,02-3456-8013,02-599-5611,온라인 교육 학원,2019-10-11,12월,01414422
(주)조이시티  정보 더보기  rss,JoyCity Corporation,조이시티,067000,조성원  정보 더보기,코스닥시장,110111-1041633,116-81-54101,"경기도 성남시 분당구 황새울로258번길 25 (수내동, 조이시티타워)",www.joycity.com,,031-789-6500,031-789-6599,게임 소프트웨어 개발 및 공급업,1994-05-30,12월,00397252
(주)메지온  정보 더보기  rss,"Mezzion Pharma Co., Ltd.",메지온,140410,박동현,코스닥시장,110111-2615578,204-81-72221,서울특별시 강남구 삼성로 570 석천빌딩 7층,,www.mezzion.co.kr,02-560-8000,02-566-6517,의학 및 약학 연구개발업,2002-09-25,12월,00808022
디비금융제11호기업인수목적 주식회사  rss,"DB Finance No.11 Special Purpose Acquisition Co., Ltd.",DB금융스팩11호,456440,김동식,코스닥시장,110111-8599833,550-88-02632,서울특별시 영등포구 국제금융로8길 32,,,02-369-3957,02-761-2305,그 외 기타 분류 안된 금융업,2023-04-04,12월,01731453
큐캐피탈파트너스(주)  정보 더보기  rss,"Q Capital Partners Co., Ltd.",큐캐피탈,016600,황희연  정보 더보기,코스닥시장,110111-0339691,220-81-08089,서울특별시 강남구 테헤란로 30611층(역삼동. 카이트타워),www.qcapital.co.kr,,02-538-2411,02-538-2415,기타 금융업,1982-12-17,12월,00267942
주식회사 오에스피  rss,"OSP Co., Ltd",오에스피,368970,강재구,코스닥시장,161311-0017531,308-81-20821,충청남도 논산시 성동면 산업단지로2길 11,,,041-734-8445,02-797-9863,동물용 사료 및 조제식품 제조업,2004-06-16,12월,01491607
(주)비츠로시스  정보 더보기  rss,"VitzroSys., Co. LTD",비츠로시스,054220,이기재  정보 더보기,코스닥시장,110111-0657275,218-81-01953,"서울특별시 금천구 가산디지털2로 24 7층 701호(가산동, 가산와이피피아르센타워)",www.vitzrosys.com,,(02)460-2000,02-461-8030,배전반 및 전기 자동제어반 제조업,1989-11-04,12월,00201432
아이진(주)  rss,"EyeGene,Inc",아이진,185490,최석근  정보 더보기,코스닥시장,110111-2005018,101-81-60412,경기도 의왕시 양지편2로 13 2층,www.eyegene.co.kr,www.eyegene.co.kr,02-322-1687,02-302-4359,의학 및 약학 연구개발업,2000-06-23,12월,00945457
동양철관(주)  정보 더보기  rss,"DONGYANG STEEL PIPE CO.,LTD",동양철관,008970,이곽우  정보 더보기,유가증권시장,120111-0002056,122-81-00857,충청남도 천안시 동남구 풍세면 풍세로 515 동양철관(주),www.dysp.co.kr,,02-6903-0200,02)777-7663,철강관 제조업,1973-06-28,12월,00117629
(주)코엔텍  정보 더보기  rss,"Korea Environment Technology Co., LTD.",코엔텍,029960,이민석  정보 더보기,코스닥시장,181211-0024485,610-81-16574,울산 남구 용잠동 산 157,www.koentec.co.kr,,(052)228-7300,052-228-7270,"증기, 냉ㆍ온수 및 공기조절 공급업",1993-07-16,12월,00197476
(주)디에스케이  정보 더보기  rss,"DSK Co.,Ltd.",디에스케이,109740,"김태구, 김종원(각자대표)  정보 더보기",코스닥시장,134111-0045290,138-81-13022,경기도 안산시 상록구 수인로710(사사동) -,www.dsk.co.kr,,031-416-9100,031-416-9766,디스플레이 제조용 기계 제조업,1995-02-03,12월,00530121
DB금융투자(주)  정보 더보기  rss,"DB Financial Investment Co.,LTD.",DB금융투자,016610,곽봉석  정보 더보기,유가증권시장,110111-0339956,116-81-59557,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,db-fi.com,,02-369-3000,780-1310,증권 중개업,1982-12-20,12월,00115694
(주)켐트로닉스  rss,"CHEMTRONICSCo.,Ltd.",켐트로닉스,089010,김응수  정보 더보기,코스닥시장,131111-0028116,129-81-21998,세종특별자치시 전동면 배일길 31,www.chemtronics.co.kr,,031-776-7690,031-776-7691,기타 화학제품 제조업,1997-04-01,12월,00371485
인바이츠바이오코아(주)  정보 더보기  rss,"INVITES BIOCORE CO., LTD",인바이츠바이오코아,216400,"오수연, 양성우  정보 더보기",코넥스시장,110111-2250077,106-81-99931,서울특별시 금천구 디지털로9길 33,www.bio-core.com,,02-2027-6200,02-2027-6201,의학 및 약학 연구개발업,2001-05-30,12월,00537221
(주)인크레더블버즈  정보 더보기  rss,InkredibleBuzz Inc.,인크레더블버즈,064090,임신영  정보 더보기,코스닥시장,124311-0033334,130-81-32739,"서울특별시 강남구 테헤란로98길 15 5층(대치동,송강빌딩)",www.fnrepublic.com,,02-558-5752,032-327-0776,상품 종합 도매업,1991-09-30,12월,00390408
현대제철(주)  정보 더보기  rss,HYUNDAI STEEL COMPANY,현대제철,004020,서강현  정보 더보기,유가증권시장,120111-0001743,121-81-10385,인천광역시 동구 중봉대로 63,www.hyundai-steel.com,,032-760-2114,02) 2112 - 9599,"제철, 제강 및 합금철 제조업",1953-06-10,12월,00145880
(주)엑시콘  정보 더보기  rss,"Exicon Co., Ltd.",엑시콘,092870,"최명배, 박영우  정보 더보기",코스닥시장,131111-0058402,129-81-40428,"경기도 성남시 분당구 판교로 255번길 28, 7층(삼평동, 디에이치케이솔루션빌딩)",www.exicon.co.kr,,031-639-9200,031-696-3120,반도체 제조용 기계 제조업,2001-03-08,12월,00611736
(주)아바코  정보 더보기  rss,"AVACOCO.,LTD.",아바코,083930,김광현  정보 더보기,코스닥시장,170111-0166737,503-81-43827,대구 달서구 월암동 1107번지,www.avaco.co.kr,,053-583-8150,053-588-9209,디스플레이 제조용 기계 제조업,2000-01-16,12월,00442145
(주)셀트리온  정보 더보기  rss,"Celltrion, Inc.",셀트리온,068270,"기우성, 김형기, 서진석  정보 더보기",유가증권시장,135011-0034038,133-81-23603,인천광역시 연수구 아카데미로 23,www.celltrion.com,,032-850-5000,032-850-5036,기초 의약 물질 제조업,1991-02-27,12월,00413046
(주)한네트  정보 더보기  rss,"HANNET CO., LTD.",한네트,052600,김선종  정보 더보기,코스닥시장,110111-1402851,118-81-16705,서울특별시 마포구 독막로 281,www.hannet.net,,02-2125-6000,02-2125-6006,그 외 기타 전기 통신업,1997-04-15,12월,00244783
에스케이렌터카(주)  정보 더보기,"SK RENT A CAR CO.,LTD",에스케이렌터카,068400,이정환  정보 더보기,기타법인,110111-0577233,113-81-32864,서울특별시 구로구 서부샛길 822,https://company.skcarrental.com,,1-599-9111,02-6474-5514,자동차 임대업,1988-06-03,12월,00201450
넥센타이어(주)  정보 더보기  rss,NEXEN TIRE CORPORATION,넥센타이어,002350,대표이사 회 장 강병중 대표이사 부회장 강호찬 대표이사 사 장 이현종  정보 더보기,유가증권시장,110111-0014219,621-81-10769,경상남도 양산시 충렬로 355 넥센타이어,www.nexentire.com,,055-370-5114,055-370-5078,고무제품 제조업,1958-04-11,12월,00173874
주식회사 그린플러스  정보 더보기  rss,"GREEN PLUS Co., Ltd.",그린플러스,186230,"박영환, 정순태  정보 더보기",코스닥시장,134811-0033605,124-81-52399,충청남도 예산군 응봉면 응봉로 50-42,www.greenplus.co.kr,,041-332-6421,041-332-6430,"알루미늄 압연, 압출 및 연신제품 제조업",1997-10-21,12월,00602279
(주)케이씨에스  정보 더보기  rss,Korea Computer & Systems Inc.,케이씨에스,115500,김광묵  정보 더보기,코스닥시장,176011-0032132,513-81-28411,경상북도 구미시 3공단1로 284 (임수동),www.kcins.co.kr,,02-6377-5001,02-6377-5100,컴퓨터시스템 통합 자문 및 구축 서비스업,2002-12-06,12월,00441650
풍국주정공업(주)  rss,"Pungguk Ethanol Co.,Ltd.",풍국주정,023900,"이한용, 김규호(각자 대표이사)  정보 더보기",코스닥시장,170111-0000745,514-81-20391,대구광역시 달서구 성서로 72,www.pungguk.com,,053 -583 -2071,053 -582 -1631,주정 제조업,1954-02-27,12월,00155452
(주)창해에탄올  정보 더보기  rss,"Changhae Ethanol Co., Ltd.",창해에탄올,004650,"이연희, 임우석 (각자대표이사)  정보 더보기",코스닥시장,201311-0000107,416-81-00072,전라북도 전주시 덕진구 원만성로 15,www.chethanol.com,,063-214-7800,063-214-7805,주정 제조업,1966-06-16,12월,00123523
(주)바이오로그디바이스  정보 더보기  rss,"BIOLOG DEVICE CO., LTD",바이오로그디바이스,208710,김정욱  정보 더보기,코스닥시장,110111-5546217,107-88-32553,"경기도 용인시 기흥구 기흥로 58-1 제A동 1805호 (구갈동, 기흥ICT밸리SKV1)",www.biologdevice.com,http://www.biologdevice.com,031-831-3696,031-831-3697,전자부품 제조업,2014-10-23,12월,01047707
비씨엔씨(주)  rss,"BCnC Co., Ltd.",비씨엔씨,146320,김돈한,코스닥시장,134211-0058902,126-81-72260,경기도 이천시 신둔면 마소로57번길 25,www.bcnc.co.kr,,031-638-8434,031-638-8436,반도체 제조업,2003-06-19,12월,01301623
(주)이엔에프테크놀로지  정보 더보기  rss,"ENF Technology Co., Ltd",이엔에프테크놀로지,102710,"지용석, 김정수, 박기수(각자대표)  정보 더보기",코스닥시장,110111-1957195,211-86-97360,경기도 용인시 기흥구 탑실로35번길 14 한국알콜산업그룹빌딩,www.enftech.com/,,031-881-8200,031-282-6855,그 외 기타 화학제품 제조업,2000-05-01,12월,00530185
(주)큐로홀딩스  정보 더보기  rss,"CUROHOLDINGS Co., Ltd.",큐로홀딩스,051780,조중기  정보 더보기,코스닥시장,110111-0555479,129-81-19361,"서울특별시 강남구 테헤란로13길 31-1 3층(역삼동, 일리빌딩)",www.curoholdings.com,,02-2141-3000,02-2141-3097,음ㆍ식료품 및 담배 소매업,1987-12-29,12월,00296324
에스제이지세종(주)  정보 더보기  rss,"SJG SEJONG CO.,LTD",SJG세종,033530,"최정연, 이동원 (각자 대표이사)  정보 더보기",유가증권시장,181211-0000758,620-81-00119,울산광역시 북구 공단길 4 (효문동),www.sjku.co.kr,,052-219-1699,052-283-2213,자동차 신품 부품 제조업,1976-06-10,12월,00134510
나이스정보통신(주)  정보 더보기  rss,NICE INFORMATION & TELECOMMUNICATION INC.,나이스정보통신,036800,김승현  정보 더보기,코스닥시장,110111-0574453,220-81-15770,서울특별시 영등포구 은행로 17 NICE 그룹1사옥,www.nicevan.co.kr,,02 -2187-2700,05050270273,그 외 기타 전기 통신업,1988-05-12,12월,00264945
에이치엘비테라퓨틱스(주)  정보 더보기  rss,"HLB Therapeutics Co.,Ltd.",HLB테라퓨틱스,115450,안기홍  정보 더보기,코스닥시장,160111-0099451,314-81-33883,경기도 성남시 분당구 정자일로 248 2201,,,031-786-7800,031-786-7801,기타 전문 도매업,2000-06-07,12월,00552859
신성에스티(주)  정보 더보기  rss,"Shinsung ST Co., Ltd.",신성에스티,416180,안병두,코스닥시장,194211-0068066,609-81-63913,경상남도 창원시 마산회원구 3·15대로 711 대아빌딩,shinsungst.co.kr,,070-8823-2973,070-8823-3380,그 외 자동차용 신품 부품 제조업,2004-06-16,12월,00761183
덕산네오룩스(주)  정보 더보기  rss,"DUK SAN NEOLUX CO.,LTD",덕산네오룩스,213420,"이수훈, 이범성(공동대표이사)  정보 더보기",코스닥시장,161511-0176036,312-86-74729,충청남도 천안시 서북구 입장면 쑥골길 21-32,www.dsneolux.co.kr,,041-590-5400,041-590-5499,전자부품 제조업,2014-12-31,12월,01061558
에이치엘홀딩스(주)  정보 더보기  rss,HL Holdings Corporation,HL홀딩스,060980,"김광헌, 김준범  정보 더보기",유가증권시장,131311-0030042,125-81-30627,경기도 용인시 기흥구 기흥단지로 46 -,hlholdings.co.kr,,02-3434-5133,02-526-0555,지주회사,1999-11-27,12월,00299002
(주)씨제이이엔엠  정보 더보기  rss,"CJ ENM CO., Ltd.",CJ ENM,035760,윤상현  정보 더보기,코스닥시장,110111-1109134,106-81-51510,서울특별시 서초구 과천대로 870-13,www.cjmall.com,,02-2107-0114,02-2107-1014,텔레비전 방송업,1994-12-16,12월,00265324
두산퓨얼셀 주식회사  rss,"Doosan Fuel Cell Co., Ltd.",두산퓨얼셀,336260,이두순  정보 더보기,유가증권시장,214911-0058935,773-88-01177,전라북도 익산시 석암로7길 100 (팔봉동),www.doosanfuelcell.com,,063-722-2001,02-3398-3858,전동기 및 발전기 제조업,2019-10-01,12월,01412725
(주)씨이랩  rss,"XIIlab Co., Ltd",씨이랩,189330,이우영,코스닥시장,110111-4401438,119-86-31534,"서울특별시 강남구 언주로 617 3,4층 (논현동)",www.xiilab.com,,02-2039-3147,02-6914-9373,소프트웨어 개발 및 공급업,2010-07-27,12월,00991298
(주)좋은사람들  rss,"GOOD PEOPLE CO., LTD.",좋은사람들,033340,"이성현, 김관승(각자 대표이사)  정보 더보기",코스닥시장,110111-0939326,105-81-58242,"서울특별시 마포구 연희로 11 한국특허정보원빌딩 서울 마포구 연희로 11, 5층(동교동, 한국특허정보원빌딩",www.goodpeople.co.kr,,02-320-6600,02-334-6005,속옷 및 잠옷 제조업,1993-05-01,12월,00205003
덕산하이메탈(주)  rss,"DUKSANHIMETALCO.,LTD.",덕산하이메탈,077360,"이수훈, 김태수 (공동대표이사)  정보 더보기",코스닥시장,230111-0056969,620-81-19108,울산광역시 북구 무룡1로 66,www.dshm.co.kr,,052-283-9000,052-289-3500,반도체 제조업,1999-05-06,12월,00471068
딥마인드플랫폼(주)  정보 더보기  rss,"DeepMind Platform Co., Ltd.",딥마인드,223310,"홍상혁, 유병길 (공동대표이사)  정보 더보기",코스닥시장,110111-4519281,113-86-45520,서울특별시 강남구 선릉로135길 5 -,www.deepmind.im,,070-4490-3133,070-7860-9663,상품 종합 도매업,2011-01-19,12월,01075126
네이버(주)  정보 더보기  rss,NAVER Corporation,NAVER,035420,최수연  정보 더보기,유가증권시장,110111-1707178,220-81-62517,경기도 성남시 분당구 정자일로 95 1784,www.navercorp.com,https://www.navercorp.com/investment/investors,1588-3830,031-784-4175,포털 및 기타 인터넷 정보매개 서비스업,1999-06-02,12월,00266961
(주)산돌  정보 더보기  rss,"Sandoll, Inc.",산돌,419120,윤영호 (단독대표)  정보 더보기,코스닥시장,110111-6908870,582-88-01149,서울특별시 성동구 아차산로17길 49 601-612호,www.sandoll.co.kr,,1688-4001,02-742-0310,응용 소프트웨어 개발 및 공급업,2018-10-29,12월,01516368
(주)이랜텍  정보 더보기  rss,"Elentec Co., Ltd",이랜텍,054210,"이세용, 이해성(각자대표이사)  정보 더보기",코스닥시장,134511-0002375,124-81-39417,경기도 수원시 영통구 삼성로268번길 37,www.elentec.co.kr,,070-7098-8071,031)211-9696,전자부품 제조업,1982-01-21,12월,00206659
(주)가온칩스  정보 더보기  rss,"GAONCHIPS CO., LTD.",가온칩스,399720,정규동,코스닥시장,131111-0319656,144-81-04023,경기도 성남시 수정구 금토로40번길 26 A동 4층,www.gaonchips.com,,031-697-8267,070-4649-7510,비메모리용 및 기타 전자집적회로 제조업,2012-08-06,12월,01364747
솔브레인 주식회사  rss,"Soulbrain Co., Ltd.",솔브레인,357780,노환철  정보 더보기,코스닥시장,131111-0597525,524-86-01789,경기도 성남시 분당구 판교로255번길 34,www.soulbrain.co.kr,,031-719-0700,031-719-2851,기타 화학제품 제조업,2020-07-01,12월,01489648
에스케이아이이테크놀로지 주식회사  정보 더보기  rss,"SK ie technology Co., Ltd.",SK아이이테크놀로지,361610,김철중  정보 더보기,유가증권시장,110111-7064217,559-86-01539,"서울특별시 종로구 종로 26 (서린동, SK서린동빌딩)",www.skietechnology.com/,,02-2121-5114,02-2121-2546,일차전지 및 이차전지 제조업,2019-04-01,12월,01386916
주식회사 씨앤투스  정보 더보기  rss,"CNTUS Co., Ltd",씨앤투스,352700,하춘욱,코스닥시장,230111-0096064,610-81-66526,부산광역시 강서구 녹산산업중로192번길 24,cntus.com,,02-585-5915,051-831-2506,기타 섬유제품 제조업,2003-05-27,12월,00875237
현대비앤지스틸(주)  정보 더보기  rss,"HYUNDAI BNG STEEL CO., LTD",현대비앤지스틸,004560,"대표이사 사장 정일선, 대표이사 부사장 이선우(각자 대표이사)  정보 더보기",유가증권시장,110111-0065395,120-81-28432,경상남도 창원시 성산구 적현로 124,www.hyundai-bngsteel.com,,055-268-4114,02-563-1291,냉간 압연 및 압출 제품 제조업,1966-04-07,12월,00125743
콜마비앤에이치(주)  정보 더보기  rss,"KolmarBNH Co., Ltd",콜마비앤에이치,200130,윤여원  정보 더보기,코스닥시장,110111-5399517,104-86-54817,세종특별자치시 전의면 산단길 22-15 콜마비앤에이치(주),www.kolmarbnh.co.kr,www.kolmarbnh.co.kr,02-2286-3223,044-860-4260,기초 의약 물질 제조업,2014-04-22,12월,01032404
에스케이플라즈마 주식회사,"SK Plasma Co.,Ltd.",에스케이플라즈마,,김승주  정보 더보기,기타법인,131111-0401875,778-86-00034,경기도 성남시 분당구 판교로 310,,,02-2008-2008,02-2008-7899,합성의약품 및 기타 완제 의약품 제조업,2015-03-05,12월,01079210
신송홀딩스(주)  정보 더보기  rss,SINGSONGHOLDINGS,신송홀딩스,006880,조갑주  정보 더보기,유가증권시장,110111-0038061,116-81-04391,서울특별시 영등포구 여의나루로 53-1,www.singsongholdings.com,,027801400,02-761-4569,곡물 및 유지작물 도매업,1970-11-05,12월,00136402
솔브레인홀딩스(주)  정보 더보기  rss,"Soulbrain Holdings Co., Ltd.",솔브레인홀딩스,036830,정현석  정보 더보기,코스닥시장,110111-0610083,214-81-03416,"경기도 성남시 분당 판교로 255번길 34, 5층(삼평동, 솔브레인)",http://www.soulbrainholdings.co.kr,,031 -719 -0700,0317192851,회사 본부 및 경영 컨설팅 서비스업,1986-05-06,12월,00247975
(주)원익피앤이  정보 더보기  rss,"WONIK PNE CO., LTD.",원익피앤이,217820,이기채  정보 더보기,코스닥시장,134811-0045535,124-81-67704,경기도 수원시 권선구 산업로 185 (주)원익피앤이,www.wonikpne.com,,031-299-0100,043-218-7059,특수 목적용 기계 제조업,1999-11-10,12월,01020843
한화갤러리아(주)  정보 더보기  rss,HANWHA GALLERIA CORPORATION,한화갤러리아,452260,김영훈  정보 더보기,유가증권시장,110111-8570891,716-88-02682,"서울특별시 영등포구 63로 50 63한화생명빌딩 11층, 12층",www.hanwhagalleria.co.kr,,02-410-7604,02-410-7574,백화점,2023-03-02,12월,01722437
(주)오뚜기  정보 더보기  rss,OTTOGI CORPORATION,오뚜기,007310,"함영준, 황성만  정보 더보기",유가증권시장,134111-0002258,138-81-03238,경기도 안양시 동안구 흥안대로 405,www.ottogi.co.kr,,031-421-2122,02) 528 -1970,기타 식품 제조업,1971-06-03,12월,00141529
(주)네오크레마  정보 더보기  rss,"Neo Cremar Co., Ltd.",네오크레마,311390,"한기수, 이준우 (공동대표이사)  정보 더보기",코스닥시장,110111-3594763,215-86-93463,서울특별시 강남구 도산대로89길 7 2층(청담동),www.cremar.co.kr,,02-401-4088,02-401-4087,기타 식품 제조업,2007-01-08,12월,01219155
(주)키이스트  정보 더보기  rss,"KEYEAST Co., Ltd.",키이스트,054780,조지훈  정보 더보기,코스닥시장,110111-1327869,120-81-66644,서울특별시 강남구 학동로11길 30 -,www.keyeast.co.kr,,02-3444-2002,02-3444-4290,"영화, 비디오물 및 방송프로그램 배급업",1996-10-08,12월,00353762
(주)보아스에셋  정보 더보기,boaz asset,보아스에셋,,김성진  정보 더보기,기타법인,110111-5221611,261-81-00642,"서울특별시 구로구 디지털로 288 (구로동, 대륭포스트타워1차) 2층, 209-알261호",www.bouvier.co.kr,,02-511-6693,02-594-0132,핸드백 및 지갑 제조업,2013-09-05,12월,01113930
JW홀딩스(주)  정보 더보기  rss,JW HOLDINGS CORPORATION,JW홀딩스,096760,"이경하, 차성남  정보 더보기",유가증권시장,110111-3710468,108-81-80331,경기도 과천시 과천대로7길 38 -,jw-holdings.co.kr,,02-840-6777,02-843-7696,지주회사,2007-07-03,12월,00632304
JW중외제약(주)  정보 더보기  rss,JW PHARMACEUTICAL,JW중외제약,001060,대표이사 신영섭  정보 더보기,유가증권시장,110111-0019342,118-81-02477,경기도 과천시 과천대로7길 38 -,www.jw-pharma.co.kr,,02-840-6777,843-7696,의약품 제조업,1945-08-08,12월,00149947
덕양산업(주)  정보 더보기  rss,"DUCKYANG INDUSTRY CO.,LTD",덕양산업,024900,"윤성희, 정홍규  정보 더보기",유가증권시장,181211-0000922,620-81-01234,울산광역시 북구 효암로 366,www.duckyang.co.kr,,052-219-1114,052-287-3130,자동차 신품 부품 제조업,1977-07-11,12월,00114154
제이더블유신약(주)  정보 더보기  rss,JW SHINYAK CORPORATION,JW신약,067290,김용관  정보 더보기,코스닥시장,161511-0001291,312-81-02332,경기도 과천시 과천대로7길 38 -,www.jw-shinyak.co.kr,,02-840-6111,02)843-7696,의약품 제조업,1981-08-13,12월,00110431
에스케이케미칼(주)  rss,"SK Chemicals Co., Ltd.",SK케미칼,285130,"김철, 안재현  정보 더보기",유가증권시장,131111-0501021,846-81-00915,경기도 성남시 분당구 판교로 310,www.skchemicals.com,,02-2008-2008,02-2008-2739,합성수지 및 기타 플라스틱 물질 제조업,2017-12-01,12월,01267170
신성델타테크(주)  정보 더보기  rss,"SHINSUNG DELTA TECH CO., LTD",신성델타테크,065350,구본상·이동한(각자 대표이사)  정보 더보기,코스닥시장,194211-0003096,609-81-07658,경상남도 창원시 성산구 공단로271번길 39 신성델타테크(주),www.ssdelta.co.kr,,055-260-1000,055-285-1628,기타 가정용 전기기기 제조업,1987-11-09,12월,00136226
케이비제21호기업인수목적 주식회사,"KB No.21 Special Purpose Acquisition Company Co., Ltd.",케이비제21호기업인수목적,424140,이경준,기타법인,110111-8228987,781-87-02409,"서울특별시 영등포구 의사당대로1길 25, 606호",,,02-6166-0707,,금융 지원 서비스업,2022-03-14,12월,01621280
현대코퍼레이션(주)  정보 더보기  rss,HYUNDAI CORPORATION,현대코퍼레이션,011760,"정몽혁, 김원갑, 장안석(각자대표이사)  정보 더보기",유가증권시장,110111-0205850,101-81-16269,서울특별시 종로구 율곡로2길 25 연합미디어센터빌딩 16층,www.hyundaicorp.co.kr,,02-390-1114,390-1053,상품 종합 도매업,1976-12-08,12월,00164812
디에스씨인베스트먼트(주)  rss,DSC Investment Inc.,DSC인베스트먼트,241520,윤건수,코스닥시장,110111-4778267,220-88-31804,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층,www.dscinvestment.com,,02-3453-3190,02-3453-3189,기타 금융 투자업,2012-01-18,12월,01109715
동아에스티(주)  정보 더보기  rss,"DONG-A ST CO.,LTD",동아에스티,170900,정재훈  정보 더보기,유가증권시장,110111-5079713,204-86-40122,서울 동대문구 용두동 138 ~255 천호대로 64,www.donga.co.kr,,02-920-8114,02-923-1202,의약품 제조업,2013-03-04,12월,00956930
